Job Role,Job Title,Student Qualification,Student Skills,Job Description
Business Analyst,System Analyst,Diploma in Software Engineering,"Node.js, C#, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Excel, Docker, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Excel, Docker, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Node.js, Power BI, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Java, C#, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Node.js, JavaScript, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"AWS, Python, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Node.js, JavaScript, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"SQL, Python, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"AWS, Python, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Java, C#, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Java, Docker, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Node.js, C#, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Java, Docker, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Docker, C#, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Kubernetes, C#, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Java, Docker, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Angular, JavaScript, Node.js",Bridges business needs with technical implementation and processes.
