company,employmenttype_jobstatus,jobdescription,joblocation_address,jobtitle,postdate,skills
JetBlue Airways,Full Time,"____________________________________________________________________________________________Position Title: Developer Application Services Lead (JAVA)____________________________________________________________________________________________Position Summary:The Services Lead Developer leads complex design, development, testing and documentation effort of enterprise applications and services, mainly with JAVA technology stack. This role involves significant collaboration with stakeholders, driving technical architecture and implementation. The Developer defines practices and leads team members to develop and maintain innovative, scalable applications which provide value to the business.Essential Responsibilities:Lead the design, code, debug and documentation of applications in JAVA technologies like J2EE, Spring, Struts, etc.Provide guidance on development through architecture decisions; coach/support other engineersCollaborate with stakeholders to define specifications and delivery project timelinesPerform code reviews to insure high quality and consistent coding practicesPartners with data center operations and infrastructure teams to ensure seamless deployments, proper documentation and support for applicationsEnsure that JetBlue IT and business standards and procedures are maintained in accordance with Company policies and all audit, security and regulatory requirementsPartner with other IT Managers to ensure alignment and drive efficiencies and ensure continued accountability for product and services delivery within assigned business units and across ITProvide direct oversight of delivery teams for applicable portfolio initiativesTake a significant role in leading and coaching direct team and/or indirect Crewmembers to support the engagement, growth and development of Succession plan for the IT departmentOther duties as assignedMinimum Experience and Qualifications:Bachelor’s Degree in Computer Science, Computer Engineering or related disciplineEight (8) years of overall experience developing web services and enterprise-scale application integration solutions.Five (5) years’ JAVA technologies like J2EE, Spring, Struts, etc.Experience with RESTful, JSON, XML, SOAP web serviceFamiliarity with backend architecturesAvailable for moderate overnight travel (up to 35%)  Able to work flexible hours and be available for emergency response on short noticeAble to pass a ten (10) year background check and pre-employment drug testLegally eligible to work in the country in which the position is locatedExperiences Preferred: Thorough knowledge of business function and thorough knowledge of business operations, objectives and strategiesExposure to JetBlue’s IT disciplines and interdependenciesExposure to JetBlue’s business units and how their needs drive IT strategyWorking on enterprise-wide budget processWorking Conditions:Crewmember Expectations: Regular attendance and punctualityPotential need to work flexible hours and be available to respond on short-noticeWell groomed and able to maintain a professional appearanceWhen working or traveling on JetBlue flights, and if time permits, all capable crewmembers are asked to assist with light cleaning of the aircraftMust be an appropriate organizational fit for the JetBlue culture, that is, exhibit the JetBlue values of Safety, Caring, Integrity, Passion and FunEquipment: Computer and other office equipmentWork EnvironmentNormal Office EnvironmentPhysical Effort: Generally not required, or up to 10 pounds occasionally, 0 pounds frequently. (Sedentary) ","Queens, NY",Lead Java Developer,2 weeks ago,"Lead, RESTful, JSON, XML, SOAP web service, J2EE, Spring"
JetBlue Airways,Full Time,"____________________________________________________________________________________________Position Title: Developer Application Services Lead (JAVA)____________________________________________________________________________________________Position Summary:The Services Lead Developer leads complex design, development, testing and documentation effort of enterprise applications and services, mainly with JAVA technology stack. This role involves significant collaboration with stakeholders, driving technical architecture and implementation. The Developer defines practices and leads team members to develop and maintain innovative, scalable applications which provide value to the business.Essential Responsibilities:Lead the design, code, debug and documentation of applications in JAVA technologies like J2EE, Spring, Struts, etc.Provide guidance on development through architecture decisions; coach/support other engineersCollaborate with stakeholders to define specifications and delivery project timelinesPerform code reviews to insure high quality and consistent coding practicesPartners with data center operations and infrastructure teams to ensure seamless deployments, proper documentation and support for applicationsEnsure that JetBlue IT and business standards and procedures are maintained in accordance with Company policies and all audit, security and regulatory requirementsPartner with other IT Managers to ensure alignment and drive efficiencies and ensure continued accountability for product and services delivery within assigned business units and across ITProvide direct oversight of delivery teams for applicable portfolio initiativesTake a significant role in leading and coaching direct team and/or indirect Crewmembers to support the engagement, growth and development of Succession plan for the IT departmentOther duties as assignedMinimum Experience and Qualifications:Bachelor’s Degree in Computer Science, Computer Engineering or related disciplineEight (8) years of overall experience developing web services and enterprise-scale application integration solutions.Five (5) years’ JAVA technologies like J2EE, Spring, Struts, etc.Experience with RESTful, JSON, XML, SOAP web serviceFamiliarity with backend architecturesAvailable for moderate overnight travel (up to 35%)  Able to work flexible hours and be available for emergency response on short noticeAble to pass a ten (10) year background check and pre-employment drug testLegally eligible to work in the country in which the position is locatedExperiences Preferred: Thorough knowledge of business function and thorough knowledge of business operations, objectives and strategiesExposure to JetBlue’s IT disciplines and interdependenciesExposure to JetBlue’s business units and how their needs drive IT strategyWorking on enterprise-wide budget processWorking Conditions:Crewmember Expectations: Regular attendance and punctualityPotential need to work flexible hours and be available to respond on short-noticeWell groomed and able to maintain a professional appearanceWhen working or traveling on JetBlue flights, and if time permits, all capable crewmembers are asked to assist with light cleaning of the aircraftMust be an appropriate organizational fit for the JetBlue culture, that is, exhibit the JetBlue values of Safety, Caring, Integrity, Passion and FunEquipment: Computer and other office equipmentWork EnvironmentNormal Office EnvironmentPhysical Effort: Generally not required, or up to 10 pounds occasionally, 0 pounds frequently. (Sedentary) ","Queens, NY",Lead Java Developer,2 weeks ago,"Lead, RESTful, JSON, XML, SOAP web service, J2EE, Spring"
Capital Markets Placement,"Full Time, Full Time","- Mentor, coach and lead other developers in the models, languages and development approaches in the development of applications - Interest in distributed systems, scalability, and the power of open source solutions and public cloud Basic Qualifications:   - Bachelors Degree or 6 years of equivalent work experience - At Least 8 years experience with application development and design - At Least 5 years experience with Java and object-oriented programming languages - At Least 5 years experience managing and supporting the full life-cycle of IT development projects - At Least 1 year of experience building APIs - At Least 1 year of experience with REST, Spring framework Preferred Qualifications:   - Masters Degree - 3 years of experience with full stack development - 1+ years of experience with javascript - 1+ years of experience with modern frameworks, angular.js, and React - 1+ years of experience with NoSQL and distributed databases - 1+ years of experience with Amazon Web Services (AWS) or other cloud technologies - 5+ years experience running large scale global applications & distributed systems Compensation $130,000/y Location Terms fulltime Duration Full Time Industry Financial Hotness  Compensation: $130,000/y Terms: fulltime Duration: Full Time Industry: Financial","Mclean, VA",Senior Full Stack Engineer (Angular/Java),8 hours ago,"Development, Java, JavaScript, NoSQL, Programming"
Capital Markets Placement,"Full Time, Full Time","- Mentor, coach and lead other developers in the models, languages and development approaches in the development of applications - Interest in distributed systems, scalability, and the power of open source solutions and public cloud Basic Qualifications:   - Bachelors Degree or 6 years of equivalent work experience - At Least 8 years experience with application development and design - At Least 5 years experience with Java and object-oriented programming languages - At Least 5 years experience managing and supporting the full life-cycle of IT development projects - At Least 1 year of experience building APIs - At Least 1 year of experience with REST, Spring framework Preferred Qualifications:   - Masters Degree - 3 years of experience with full stack development - 1+ years of experience with javascript - 1+ years of experience with modern frameworks, angular.js, and React - 1+ years of experience with NoSQL and distributed databases - 1+ years of experience with Amazon Web Services (AWS) or other cloud technologies - 5+ years experience running large scale global applications & distributed systems Compensation $130,000/y Location Terms fulltime Duration Full Time Industry Financial Hotness  Compensation: $130,000/y Terms: fulltime Duration: Full Time Industry: Financial","Mclean, VA",Senior Full Stack Engineer (Angular/Java),8 hours ago,"Development, Java, JavaScript, NoSQL, Programming"
MSYS Inc.,"Contract Corp-To-Corp, Contract W2, Long Term","----------------------We thank you for your interest in this position. Please send the resume, availability and the rate to resume@msysinc.com and we wish you all the best!Title:GIS Analyst - F2F InterviewLocation:Richmond,VALength:Long TermDescription:** F2F Interview Required ** Tasks:•Create maps and graphs, using GIS software and related equipment.•Create, manage, and monitor map services using GIS software.•Meet with users to define data needs and required outputs.•Conduct research to locate and obtain existing data.•Gather, analyze, and integrate spatial data.•Compile geographic data from a variety of sources.•Analyze spatial data for geographic statistics to incorporate into documents and reports.•Design and update feature classes for enterprise data, applying knowledge of spatial feature representations.•Design and manage connections between GIS data stored in the enterprise GIS database and business attribute information stored in source systems of record.•Create new map data through digitization or by direct input of coordinate information using the principles of cartography including coordinate systems, longitude, latitude, elevation, topography, and map scales.•Analyze geographic relationships among varying types of data.•Prepare metadata and other documentation.•Operate and maintain GIS system hardware, software, large format printer, color printer, and remote sensing devices.•Move, copy, delete, and add files, drawings, and maps to output reports in hard copy or electronic transfer.•Present information to users and answer questions. Knowledge, Skills, and Abilities:3 years ArcGIS Desktop 10.x3 years Publishing Map Services2 years Database Connections - Spatial Data Views, Query Layers, etc.•Geography - Knowledge of various methods for describing the location and distribution of land, sea, and air masses including their physical locations, relationships, and characteristics.•Communication, Written, Oral, and Cartographic - The ability to convey GIS/spatial information to non-GIS/technical people.•Analytical Skills - The ability to solve problems using the GIS suite of tools.•Mathematics - Using mathematics to solve problems.•Information Gathering - Knowing how to find information and identify essential information, and validate the information.•Information Ordering - The ability to correctly follow a given rule or set of rules in order to arrange things or actions in a certain order.•Computer Science – Knowledge about the use and development of computer programs to solve problems.•Systems Evaluation - Looking at many indicators of system performance, taking into account their accuracy. ","Richmond, VA",GIS Analyst - F2F Interview,2 days ago,ArcGIS Desktop 10.x
MSYS Inc.,"Contract Corp-To-Corp, Contract W2, Long Term","----------------------We thank you for your interest in this position. Please send the resume, availability and the rate to resume@msysinc.com and we wish you all the best!Title:GIS Analyst - F2F InterviewLocation:Richmond,VALength:Long TermDescription:** F2F Interview Required ** Tasks:•Create maps and graphs, using GIS software and related equipment.•Create, manage, and monitor map services using GIS software.•Meet with users to define data needs and required outputs.•Conduct research to locate and obtain existing data.•Gather, analyze, and integrate spatial data.•Compile geographic data from a variety of sources.•Analyze spatial data for geographic statistics to incorporate into documents and reports.•Design and update feature classes for enterprise data, applying knowledge of spatial feature representations.•Design and manage connections between GIS data stored in the enterprise GIS database and business attribute information stored in source systems of record.•Create new map data through digitization or by direct input of coordinate information using the principles of cartography including coordinate systems, longitude, latitude, elevation, topography, and map scales.•Analyze geographic relationships among varying types of data.•Prepare metadata and other documentation.•Operate and maintain GIS system hardware, software, large format printer, color printer, and remote sensing devices.•Move, copy, delete, and add files, drawings, and maps to output reports in hard copy or electronic transfer.•Present information to users and answer questions. Knowledge, Skills, and Abilities:3 years ArcGIS Desktop 10.x3 years Publishing Map Services2 years Database Connections - Spatial Data Views, Query Layers, etc.•Geography - Knowledge of various methods for describing the location and distribution of land, sea, and air masses including their physical locations, relationships, and characteristics.•Communication, Written, Oral, and Cartographic - The ability to convey GIS/spatial information to non-GIS/technical people.•Analytical Skills - The ability to solve problems using the GIS suite of tools.•Mathematics - Using mathematics to solve problems.•Information Gathering - Knowing how to find information and identify essential information, and validate the information.•Information Ordering - The ability to correctly follow a given rule or set of rules in order to arrange things or actions in a certain order.•Computer Science – Knowledge about the use and development of computer programs to solve problems.•Systems Evaluation - Looking at many indicators of system performance, taking into account their accuracy. ","Richmond, VA",GIS Analyst - F2F Interview,2 days ago,ArcGIS Desktop 10.x
TechLink Resources,"Contract W2, contract","!!!!!W2 only!!!!Looking for a Drupal Developer for a company in Santa Monica, CA. This is an open-ended contract. The person will need to work with Drupal 8, but because it is very new, they will accept other versions of Drupal. Must have experience with Panels, Panopoly and Organic Groups. Not just object oriented programming, must have knowledge of the system. Must have strong PHP and Bootstrap.","Santa Monica, CA",Drupal Developer,6 hours ago,"Drupal, PHP, Organic Groups, Panels, Panology, Bootstrap"
TechLink Resources,"Contract W2, contract","!!!!!W2 only!!!!Looking for a Drupal Developer for a company in Santa Monica, CA. This is an open-ended contract. The person will need to work with Drupal 8, but because it is very new, they will accept other versions of Drupal. Must have experience with Panels, Panopoly and Organic Groups. Not just object oriented programming, must have knowledge of the system. Must have strong PHP and Bootstrap.","Santa Monica, CA",Drupal Developer,6 hours ago,"Drupal, PHP, Organic Groups, Panels, Panology, Bootstrap"
Adroit Resources,"Contract Corp-To-Corp, Contract W2","!!Adroit Resources: Working with great, fast growing companies and the best talent!!!!Location: San Francisco, CA --- Contract -- Long-Term!!Job Description:Qualifications:BA/BS Degree + 6 years experience or MA/MS Degree + 4 years experience4+ years in Delivery Automation / DevOps functions, including strong hands on experience in:Scripting (Ruby, Python)Hybrid Cloud Engineering (on Google Cloud, vCloud, Heroku or equivalent)Infrastructure-as-code (Chef, Ansible or equivalent)Understating of CI/CD including the toolsContainerization (Docker or equivalent)Enterprise CMS (Zookeeper or equivalent)Java Development experienceDemonstrable understanding of PaaS frameworks (Cloud Foundry, OpenShift or equivalent)Demonstrable understanding of web application servers (jBOSS / WebSphere)Demonstrable understanding of DevOps and Continuous Delivery","San Francisco, CA",DevOps Engineer(only Local),1 week ago,"Scripting (Ruby, Python), Hybrid Cloud Engineering (on Google Cloud, vCloud, Heroku or equivalent),Infrastructure-as-code (Chef, Ansible or equivalent),CI/CD,Docker, Zookeeper,(jBOSS / WebSphere)"
Adroit Resources,"Contract Corp-To-Corp, Contract W2","!!Adroit Resources: Working with great, fast growing companies and the best talent!!!!Location: San Francisco, CA --- Contract -- Long-Term!!Job Description:Qualifications:BA/BS Degree + 6 years experience or MA/MS Degree + 4 years experience4+ years in Delivery Automation / DevOps functions, including strong hands on experience in:Scripting (Ruby, Python)Hybrid Cloud Engineering (on Google Cloud, vCloud, Heroku or equivalent)Infrastructure-as-code (Chef, Ansible or equivalent)Understating of CI/CD including the toolsContainerization (Docker or equivalent)Enterprise CMS (Zookeeper or equivalent)Java Development experienceDemonstrable understanding of PaaS frameworks (Cloud Foundry, OpenShift or equivalent)Demonstrable understanding of web application servers (jBOSS / WebSphere)Demonstrable understanding of DevOps and Continuous Delivery","San Francisco, CA",DevOps Engineer(only Local),1 week ago,"Scripting (Ruby, Python), Hybrid Cloud Engineering (on Google Cloud, vCloud, Heroku or equivalent),Infrastructure-as-code (Chef, Ansible or equivalent),CI/CD,Docker, Zookeeper,(jBOSS / WebSphere)"
