Job Role,Job Title,Student Qualification,Student Skills,Job Description
Business Analyst,System Analyst,BSc in Information Systems,"Node.js, C#, Kubernetes, Angular, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"HTML, Linux, AWS, Docker, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Power BI, Java, AWS, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"SQL, AWS, React, Angular, HTML, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Linux, CSS, Java, Excel, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Power BI, Angular, CSS, Python, Linux, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Python, Kubernetes, Node.js, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"CSS, Linux, Docker, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Node.js, C#, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Docker, C#, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"JavaScript, Java, AWS, Power BI, C#, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Angular, Excel, JavaScript, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"AWS, JavaScript, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"HTML, JavaScript, Power BI, Java, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Power BI, Docker, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Kubernetes, Power BI, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"HTML, Angular, C#",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Angular, AWS, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"SQL, Kubernetes, Java, Node.js, CSS, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Kubernetes, Linux, C#",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"SQL, CSS, Java, React, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"SQL, Node.js, Linux, React, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Angular, Excel, Python, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"CSS, Java, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Python, Docker, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Angular, C#, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"C#, React, CSS, Power BI, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Docker, AWS, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"JavaScript, CSS, C#, Kubernetes, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Java, JavaScript, Power BI, Docker, Excel, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Linux, C#, React, CSS, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"JavaScript, CSS, Python, HTML, Java, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Docker, HTML, JavaScript, Kubernetes, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"AWS, HTML, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Excel, SQL, HTML, C#, Java, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"React, SQL, Angular, Python, Linux, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"React, SQL, CSS, Python, Node.js, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Angular, AWS, JavaScript, Excel, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"AWS, Node.js, CSS, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Kubernetes, C#, Excel, JavaScript, Python, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"SQL, Excel, Linux, Kubernetes, JavaScript, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Kubernetes, Node.js, Docker, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Java, Node.js, Power BI, AWS, JavaScript, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"SQL, Node.js, Java, Angular, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"SQL, Angular, CSS, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Node.js, Angular, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Node.js, React, CSS, SQL, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Kubernetes, Node.js, Angular, SQL, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"HTML, C#, Java, React, Python, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Docker, Kubernetes, SQL, Angular, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Power BI, React, JavaScript, Linux, Kubernetes, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Linux, CSS, Angular, Docker, C#",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Angular, Kubernetes, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"C#, Kubernetes, React, Angular, HTML, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Excel, Docker, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"AWS, Node.js, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Power BI, Python, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Kubernetes, C#, Node.js, Linux, SQL, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Power BI, Kubernetes, Python, SQL, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Docker, Kubernetes, Power BI, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Angular, Docker, JavaScript, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Python, HTML, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"AWS, Docker, C#, React, Python",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"C#, Excel, Python",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Java, Kubernetes, Linux, C#",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Kubernetes, React, Java, Power BI, C#, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"JavaScript, Docker, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Docker, SQL, Python, Excel, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"React, Java, CSS, HTML, Docker, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"JavaScript, Python, Power BI, Linux, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Kubernetes, Python, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Node.js, CSS, SQL, JavaScript, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"HTML, Kubernetes, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Docker, React, Angular, Excel, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Java, Linux, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Excel, Angular, Kubernetes, C#, SQL, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Java, C#, Excel, Kubernetes, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"CSS, React, Node.js, HTML, Python, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Excel, Docker, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Kubernetes, CSS, HTML, Angular, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Linux, AWS, Angular, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Linux, Excel, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"AWS, CSS, JavaScript, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"AWS, Node.js, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"JavaScript, Python, C#, Docker, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"React, Kubernetes, Docker, Node.js, SQL",Bridges business needs with technical implementation and processes.
