job_title,skills_from_col,skills_from_desc,skills_final,jaccard_overlap
Account Director,['account management client relations marketing strategies campaign optimization data analysis communication skills'],"['advertising', 'marketing']","['account management client relations marketing strategies campaign optimization data analysis communication skills', 'advertising', 'marketing']",0.0
Account Director,['business development sales strategy market analysis client acquisition team leadership strategic planning presentation skills'],['business development'],"['business development', 'business development sales strategy market analysis client acquisition team leadership strategic planning presentation skills']",0.0
Account Executive,['advertising and marketing knowledge client relationship management advertising campaign development budget management media planning and buying'],['advertising'],"['advertising', 'advertising and marketing knowledge client relationship management advertising campaign development budget management media planning and buying']",0.0
Account Executive,['key account management sales strategy development negotiation and closing skills relationship building industry and market knowledge'],[],['key account management sales strategy development negotiation and closing skills relationship building industry and market knowledge'],0.0
Account Executive,['sales strategies and tactics account management relationship building sales forecasting industry and product knowledge'],['sales'],"['sales', 'sales strategies and tactics account management relationship building sales forecasting industry and product knowledge']",0.0
Account Manager,['client relationship management customer service communication skills'],[],['client relationship management customer service communication skills'],0.0
Account Manager,['account management sales strategy negotiation and closing skills'],['sales'],"['account management sales strategy negotiation and closing skills', 'sales']",0.0
Accountant,"['financial reporting accounting software (e.g.', 'quickbooks) auditing gaap knowledge']","['accounting', 'compliance']","['accounting', 'compliance', 'financial reporting accounting software (e.g.', 'quickbooks) auditing gaap knowledge']",0.0
Accountant,['forensic accounting fraud detection legal knowledge investigative skills'],['legal'],"['forensic accounting fraud detection legal knowledge investigative skills', 'legal']",0.0
Accountant,['tax preparation tax planning tax regulations accounting tax software proficiency'],['compliance'],"['compliance', 'tax preparation tax planning tax regulations accounting tax software proficiency']",0.0
Administrative Assistant,"['data entry accuracy and speed database software (e.g.', 'excel) attention to detail time management organization multitasking keyboarding skills data verification problem-solving communication skills computer proficiency', 'microsoft access']",[],"['data entry accuracy and speed database software (e.g.', 'excel) attention to detail time management organization multitasking keyboarding skills data verification problem-solving communication skills computer proficiency', 'microsoft access']",0.0
Administrative Assistant,"['calendar management travel coordination meeting scheduling correspondence and communication office organization confidentiality time management problem-solving attention to detail communication skills technology proficiency (e.g.', 'ms office)']",[],"['calendar management travel coordination meeting scheduling correspondence and communication office organization confidentiality time management problem-solving attention to detail communication skills technology proficiency (e.g.', 'ms office)']",0.0
Aerospace Engineer,"['aerospace engineering cad software (e.g.', 'autocad) aerodynamics structural analysis aircraft systems safety regulations']",[],"['aerospace engineering cad software (e.g.', 'autocad) aerodynamics structural analysis aircraft systems safety regulations']",0.0
Aerospace Engineer,['systems engineering system architecture integration testing troubleshooting technical documentation configuration management'],[],['systems engineering system architecture integration testing troubleshooting technical documentation configuration management'],0.0
Architect,"['architectural design software (e.g.', 'autocad', 'revit) building codes and regulations 3d modeling visualization sustainable design']",[],"['architectural design software (e.g.', 'autocad', 'revit) building codes and regulations 3d modeling visualization sustainable design']",0.0
Architect,['architectural project management construction documents building systems design coordination client communication'],['compliance'],"['architectural project management construction documents building systems design coordination client communication', 'compliance']",0.0
